493,21321321,12321321321,2321321321,2020-05-26 14:33:28,1,488,2,1
500,,제목1 답글1,"				
				내용1
				
				",2020-05-26 15:05:53,0,499,52,1
46,고양이는,울음소리가1232133,"     			     			     			     			     			멍멍
            ㅈㄷㄱㅈㄷㅂㄱㄱ
            
            
            
            ",2020-04-28 14:46:59,11,46,0,0
50,,<답변> 야!,"  야아!
   ------------------------------
  [답글]
  개짖는 소리좀 안나게 해라!
            ",2020-04-28 15:12:23,1,49,1,1
51,asd,asd,sad,2020-04-28 19:09:27,1,51,0,0
539,,sadfasdfdsa,fsdfsadfsdf,2020-05-28 19:50:11,0,0,0,0
541,,536354646546,"				
				12321321321
				
				",2020-05-28 19:50:29,0,541,0,0
540,,2132323232,232323232323,2020-05-28 19:50:23,0,540,0,0
524,,5465679806806																									,"				
								
								
																																				제목1			213213213																													
				345 2435 
				
				
				
				
				",2020-05-28 15:13:20,0,499,2,1
94,,,,2020-05-06 13:28:03,0,94,0,0
96,,,,2020-05-06 13:29:33,0,96,0,0
98,,,,2020-05-06 13:30:36,0,98,0,0
100,,,,2020-05-06 13:30:40,0,100,0,0
525,,내용1	87989989869698																										,"				
								
								
																																				제목1			213213213																													
				345 2435 
				
				
				
				
				",2020-05-28 15:13:26,0,499,1,1
461,,,,2020-05-25 17:06:18,0,461,0,0
528,,234234,324,2020-05-28 16:16:09,0,528,0,0
526,,2132132131,2133213213,2020-05-28 15:13:35,0,526,0,0
26,ㅁㄴㅇ,ㅁㄴㅇ,ㄴㅁㅇ,2020-04-28 10:32:01,36,26,0,0
2,관리자,게시판테스트,게시판테스트입니다,2020-04-27 10:02:48,24,2,0,0
21,홍길동,사이트 오픈추가,사이트 오픈을 축하합니다,2020-04-28 09:58:18,6,21,0,0
22,듀스,게시판1,게시판이당,2020-04-28 10:02:15,2,22,0,0
47,,<답변> 울음소리가1232133,"  
   ------------------------------
  [답글]
       			     			     			     			     			멍멍
            ㅈㄷㄱㅈㄷㅂㄱㄱ
            
            
            
            
            ",2020-04-28 15:06:03,1,46,1,1
48,,<답변> <답변> 울음소리가1232133,"  ㅇㅇ
   ------------------------------
  [답글]
    
   ------------------------------
  [답글]
       			     			     			     			     			멍멍
            ㅈㄷㄱㅈㄷㅂㄱㄱ
            
            
            
            
            
            ",2020-04-28 15:06:34,0,46,2,2
49,라팡,야!,개짖는 소리좀 안나게 해라!,2020-04-28 15:12:08,4,49,0,0
498,,내용,제목,2020-05-26 14:56:09,25,498,0,0
489,213213,	213123													,213213213213,2020-05-26 14:29:25,1,488,6,1
501,,123213213																									,"				
								
								
																																				제목1			213213213																													
				345 2435 
				
				
				
				
				",2020-05-26 15:21:31,1,499,49,1
502,,123213213				34324324324																					,"				
								
								
								
																																				제목1			213213213																													
				345 2435 
				
				
				
				
				
				
				",2020-05-26 15:23:15,1,499,50,2
503,,123213213				34324324324			234 324234																		,"				
								
								
								
								
																																				제목1			213213213																													
				345 2435 
				
				
				
				
				
				
				
				
				",2020-05-26 15:23:21,0,499,51,3
